id,title,authors,publishedDate,categories,description,averageRating,ratingsCount,source_query
4bn7XhMeBH8C,Prince Caspian Movie Tie-in Edition (rack),C. S. Lewis,2008-04,Fiction,"This movie tie-in edition of the full original PRINCE CASPIAN novel will be rack size, and feature a movie cover and an 8-page movie still insert.",5.0,2.0,subject:fantasy
JHEkAQAAMAAJ,Harry Potter and the Deathly Hallows,J. K. Rowling,2007,Juvenile Fiction,"""The final adventure in J.K. Rowling's phenomenal, best-selling Harry Potter book series""--Provided by publisher.",5.0,3.0,subject:fantasy
M11I3GzPEAkC,The Illustrated Man,Ray Bradbury,1951,Fiction,Eighteen science fiction stories.,,,subject:fantasy
uZEkAAAAQBAJ,Crown of Midnight,Sarah J. Maas,2013-08-27,Juvenile Fiction,"It puts this entire castle in jeopardy ... and the life of your friend.""",3.5,3.0,subject:fantasy
bNBXAwAAQBAJ,Moominland Midwinter,Tove Jansson,1992,Juvenile Fiction,"Everyone knows that the Moomins sleep through the winter, but this year Moomintroll discovers that winter is worth waking up for after all.",,,subject:fantasy
M8D1DwAAQBAJ,An Ember in the Ashes,Sabaa Tahir,2020-09,Juvenile Fiction,"BOOK ONE IN THE NEW YORK TIMES BESTSELLING SERIES One of Time Magazine's 100 Best Fantasy Books of All Time Instant New York Times bestseller From #1 New York Times bestselling author Sabaa Tahir Amazon's Best Young Adult Book of 2015 People's Choice Award winner - Favorite Fantasy Bustle's Best Young Adult Book of 2015 ""This novel is a harrowing, haunting reminder of what it means to be human -- and how hope might be kindled in the midst of oppression and fear."" -- The Washington Post ""An Ember in the Ashes could launch Sabaa Tahir into JK Rowling territory...It has the addictive quality of The Hunger Games combined with the fantasy of Harry Potter and the brutality of Game of Thrones.""--Public Radio International ""An Ember in the Ashes glows, burns, and smolders--as beautiful and radiant as it is searing.""--Huffington Post ""A worthy novel - and one as brave as its characters."" --The New York Times Book Review Laia is a slave. Elias is a soldier. Neither is free. Under the Martial Empire, defiance is met with death. Those who do not vow their blood and bodies to the Emperor risk the execution of their loved ones and the destruction of all they hold dear. It is in this brutal world, inspired by ancient Rome, that Laia lives with her grandparents and older brother. The family ekes out an existence in the Empire's impoverished backstreets. They do not challenge the Empire. They've seen what happens to those who do. But when Laia's brother is arrested for treason, Laia is forced to make a decision. In exchange for help from rebels who promise to rescue her brother, she will risk her life to spy for them from within the Empire's greatest military academy. There, Laia meets Elias, the school's finest soldier--and secretly, its most unwilling. Elias wants only to be free of the tyranny he's being trained to enforce. He and Laia will soon realize that their destinies are intertwined--and that their choices will change the fate of the Empire itself.",,,subject:fantasy
rVjOh08C6KIC,Moominpappa at Sea,Tove Jansson,2010-10-26,Juvenile Fiction,"Feeling his family's life is too safe and fixed, Moominpappa moves them to a lighthouse on an island to lead a life full of troubles, and indeed they find many mysteries in that lonely place.",,,subject:fantasy
BSuJEAAAQBAJ,The Dragonbone Chair,Tad Williams,2005-03,Fiction,"Simon, a young kitchen boy and magician's apprentice, finds his world torn apart by a civil war fueled by immortal enemies and the dark powers of sorcery.",,,subject:fantasy
Ts_gmPmzxtUC,"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien,1996,Fiction,"This definitive paperback edition features nine illustrations and two maps drawn by J.R.R. Tolkien, and a preface by Christopher Tolkien. Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely travelling further than the pantry of his hobbit-hole in Bag End. But his contentment is disturbed when the wizard, Gandalf, and a company of thirteen dwarves arrive on his doorstep one day to whisk him away on an unexpected journey 'there and back again'. They have a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon... The prelude to The Lord of the Rings, The Hobbit has sold many millions of copies since its publication in 1937, establishing itself as one of the most beloved and influential books of the twentieth century.",,,subject:fantasy
MNQzLfn72BkC,Mary Poppins,Pamela Lyndon Travers,1985,Juvenile Fiction,"The adventures of Mary Poppins, the unusual governess whose remarkable powers transform the lives of the Banks family.",,,subject:fantasy
NM5PqgKd2dsC,The Plague of Fantasies,Slavoj Žižek,1997,Computers,"Slavoj Zizek is, without doubt, one of the most stimulating and vibrant thinkers of our time, and his idiosyncratic blend of Lacan and Hegel is always sparkling with insight and studded with amusing stories, anecdotes and jokes. In The Plague of Fantasies Zizek approaches another enormous subject with characteristic brio and provocativeness. The current epoch is plagued by fantasms: there is an ever intensifying antagonism between the process of ever greater abstraction of our lives—whether in the form of digitalization or market relations—and the deluge of pseudo-concrete images which surround us. Traditional critical thought would have sought to trace the roots of abstract notions in concrete social reality; but today, the correct procedure is the inverse—from pseudo-concrete imagery to the abstract process which structures our lives. Ranging in his examples from national differences in toilet design to cybersex, and from intellectuals' responses to the Bosnian war to Robert Schumann's music, Zizek explores the relations between fantasy and ideology, the way in which fantasy animates enjoy-ment while protecting against its excesses, the associations of the notion of fetishism with fantasized seduction, and the ways in which digitalization and cyberspace affect the status of subjectivity. To the already initiated, The Plague of Fantasies will be a welcome reminder of why they enjoy Zizek's writing so much. For new readers, it will be the beginning of a long and meaningful relationship.",3.5,2.0,subject:fantasy
gVU9IFVvRFwC,The Farthest Shore,Ursula K. Le Guin,2012-09-11,Juvenile Fiction,"When the prince of Enlad declares the wizards have forgotten their spells, Ged sets out to test the ancient prophecies of Earthsea.",,,subject:fantasy
x7gvAAAACAAJ,"Moomin, Mymble and Little My",Tove Jansson,2001,Juvenile Fiction,"Finnish artist Tove Jansson's Moomin stories have been continually in print for more than half a century, in 35 languages. They are among Europe's best loved and enduring children's classics, and through the TV animation (BBC2), the warm-hearted, whimsical creatures of Moomin valley have been brought to a new younger British audience.Introducing the first Sort Of Children's Classic in a new English version by Sophie Hannah. Sort of Books proudly presents the original full colour Moomin picture book with its irresistible cut-out page designs and playful rhyming text in a new version by one of Britain's star poets.",,,subject:fantasy
r2_rY3LwaA4C,The Waste Lands,Stephen King,1993,Fiction,"Roland, the Last Gunslinger, moves closer to The Dark Tower of his dreams and nightmares through a world of the fiendish foes.",,,subject:fantasy
klGC6xroFOwC,The Magician's Nephew Color Gift Edition,C. S. Lewis,2003-11-04,Fiction,"The first book in The Chronicles of Narnia is now available in a full-color, unabridged gift edition that includes all of the original Pauline Baynes illustrations.",,,subject:fantasy
LA1jAwAAQBAJ,Tales from Moominvalley,Tove Jansson,2010-08-31,Juvenile Fiction,9 stories about the Moomins and their friends. Grades 4-6.,,,subject:fantasy
-bACcU2GBvQC,House of Many Ways,Diana Wynne Jones,2008-06-10,Juvenile Fiction,"Charmain Baker is in over her head. Looking after Great-Uncle William's tiny cottage while he's ill should have been easy. But Great-Uncle William is better known as the Royal Wizard Norland, and his house bends space and time. Its single door leads to any number of places—the bedrooms, the kitchen, the caves under the mountains, the past, and the Royal Mansion, to name just a few. By opening that door, Charmain has become responsible for not only the house, but for an extremely magical stray dog, a muddled young apprentice wizard, and a box of the king's most treasured documents. She has encountered a terrifying beast called a lubbock, irritated a clan of small blue creatures, and wound up smack in the middle of an urgent search. The king and his daughter are desperate to find the lost, fabled Elfgift—so desperate that they've even called in an intimidating sorceress named Sophie to help. And where Sophie is, can the Wizard Howl and fire demon Calcifer be far behind? Of course, with that magical family involved, there's bound to be chaos—and unexpected revelations. No one will be more surprised than Charmain by what Howl and Sophie discover.",4.0,10.0,subject:fantasy
OGJqzw0Oo2UC,The Fellowship of the Ring,John Ronald Reuel Tolkien,2002,Fiction,The first book in the Lord of the rings trilogy.,3.0,3.0,subject:fantasy
93rsnHoEr2gC,Monster Blood,R. L. Stine,1992,Juvenile Fiction,"When Evan and Andy find a dusty can labeled ""Monster Blood"" in weird Aunt Kathryn's house, they make the mistake of opening it.",,,subject:fantasy
xo424twqfEsC,A Wrinkle in Time,Madeleine L'Engle,1973,Juvenile Fiction,"This special edition ofA Wrinkle in Timeincludes a new essay that explores the science behind the fantasy. Rediscover one of the most beloved children's books of all time:A Wrinkle in Timeby Madeleine L'Engle: Meg Murray, her little brother Charles Wallace, and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door. He claims to have been blown off course, and goes on to tell them that there is such a thing as a ""tesseract,"" which, if you didn't know, is a wrinkle in time. Meg's father had been experimenting with time-travel when he suddenly disappeared. Will Meg, Charles Wallace, and their friend Calvin outwit the forces of evil as they search through space for their father?",4.0,3.0,subject:fantasy
0DJbAAAAMAAJ,Lasher,Anne Rice,1993,Fiction,"Rowan Mayfair, queen of a coven of witches, flees the compelling, irresistible Lasher, the demon father of her child.",4.5,2.0,subject:fantasy
2w0NAQAAMAAJ,Where the Wild Things are,Maurice Sendak,1963,Juvenile Fiction,"Max is sent to bed without supper and imagines sailing away to the land of Wild Things, where he is made king. Winner, 1964 Caldecott MedalNotable Children's Books of 1940-1970 (ALA)1981 Boston Globe-Horn Book Award for Illustration1963, 1982 Fanfare Honor List (The Horn Book)Best Illustrated Children's Books of 1963, 1982 (NYT)A Reading Rainbow Selection1964 Lewis Carroll Shelf AwardChildren's Books of 1981 (Library of Congress)1981 Children's Books (NY Public Library)100 Books for Reading and Sharing 1988 (NY Public Library)",,,subject:fantasy
M1AUC4TY4u0C,Graceling,Kristin Cashore,2008,Juvenile Fiction,"With elegant, evocative prose and a cast of unforgettable characters, a debut author creates a mesmerizing medieval world, a death-defying adventure, and a heart-racing romance that is sure to captivate readers.",3.5,117.0,subject:fantasy
znLhAAAAMAAJ,The Horse and His Boy,Clive Staples Lewis,1970,Juvenile Fiction,Our hardcover and paperback digest editions of THE CHRONICLES OF NARNIA are now graced with new jacket and cover art by 2-time Caldecott medalist David Wiesner.,,,subject:fantasy
-4UgAAAAMAAJ,The Wind in the Willows,Kenneth Grahame,1908,Juvenile Fiction,"Since its publication in 1908, Kenneth Grahame's The Wind in the Willows has enchanted readers, young and old. This new edition, sensitively abridged and exquisitely illustrated by Inga Moore, is sure to win over a new generation of fans. Here readers will meet the amiable Mole, his hearty friend the Water Rat, the genial Badger, and, of course, the irrepressible Mr. Toad, and enjoy some of the most memorable adventures in children's literature. Classic, yet accessible, and full of humor, this beautiful volume is the perfect addition to every family's bookshelf. Book jacket.",4.0,3.0,subject:fantasy
qjFlYdAhCiAC,Secrets of the Dragon Sanctuary,Brandon Mull,2010-02-23,Juvenile Fiction,"When Kendra and Seth go to stay at their grandparents' estate, they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming.",4.5,13.0,subject:fantasy
OqW7183UykkC,Prince Caspian,Clive Staples Lewis,2009,Fiction,"A beautiful paperback edition of Prince Caspian, book four in the classic fantasy series, The Chronicles of Narnia. This edition is complete with cover and interior art by the original illustrator, Pauline Baynes. The Pevensie siblings are back to help a prince denied his rightful throne as he gathers an army in a desperate attempt to rid his land of a false king. But in the end, it is a battle of honour between two men alone that will decide the fate of an entire world. A battle is about to begin in Prince Caspian, the fourth book in C. S. Lewis's classic fantasy series, which has been enchanting readers of all ages for over sixty years. This is a stand-alone novel, but if you would like to see more of Prince Caspian's adventures, read The Voyage of the Dawn Treader, the fifth book in The Chronicles of Narnia.",,,subject:fantasy
D8GIcKPGNR8C,Throne of Glass,Sarah J. Maas,2012,Fiction,"A hugely commercial, fabulously addictive fantastical romp - from an author with top-notch digital self-publishing pedigree and legions of fans awaiting publication",,,subject:fantasy
8UJaAAAAYAAJ,Harry Potter y la piedra filosofal,J. K. Rowling,2001,Juvenile Fiction,"Harry Potter y la piedra filosofal es el primer volumen de la ya clásica serie de novelas fantásticas de la autora británica J.K. Rowling. «Con las manos temblorosas, Harry le dio la vuelta al sobre y vio un sello de lacre púrpura con un escudo de armas: un león, un águila, un tejón y una serpiente, que rodeaban una gran letra H.» Harry Potter nunca ha oído hablar de Hogwarts hasta que empiezan a caer cartas en el felpudo del número 4 de Privet Drive. Llevan la dirección escrita con tinta verde en un sobre de pergamino amarillento con un sello de lacre púrpura, y sus horripilantes tíos se apresuran a confiscarlas. Más tarde, el día que Harry cumple once años, Rubeus Hagrid, un hombre gigantesco cuyos ojos brillan como escarabajos negros, irrumpe con una noticia extraordinaria: Harry Potter es un mago, y le han concedido una plaza en el Colegio Hogwarts de Magia y Hechicería. ¡Está a punto de comenzar una aventura increíble! ENGLISH DESCRIPTION Harry Potter and the Sorcerer's Stone is the first volume of British author J.K. Rowling's now classic series of fantasy novels. With trembling hands, Harry turned over the envelope and saw a purple wax seal with a coat of arms: a lion, an eagle, a badger, and a snake, all surrounding a large letter H. Harry Potter has never heard of Hogwarts before, until letters start falling at the doorstep of 4 Privet Drive. The address is written in green ink on a yellowed parchment envelope with a purple wax seal stamped on it, and his repugnant aunt and uncle rush to remove and hide them. Later, on Harry's eleventh birthday, Rubeus Hagrid, a gigantic man whose eyes sparkle like black beetles, shows up with extraordinary news: Harry Potter is a wizard, and he has been awarded a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!",,,subject:fantasy
nUyLhPuSp3sC,The Talisman,"Stephen King, Peter Straub",1984,Fiction,"On a brisk autumn day, a thirteen-year-old boy stands on the shores of the gray Atlantic, near a silent amusement park and a fading ocean resort called the Alhambra. The past has driven Jack Sawyer here: his father is gone, his mother is dying, and the world no longer makes sense. But for Jack everything is about to change. For he has been chosen to make a journey back across America–and into another realm. One of the most influential and heralded works of fantasy ever written, The Talisman is an extraordinary novel of loyalty, awakening, terror, and mystery. Jack Sawyer, on a desperate quest to save his mother’s life, must search for a prize across an epic landscape of innocents and monsters, of incredible dangers and even more incredible truths. The prize is essential, but the journey means even more. Let the quest begin. . . .",4.5,20.0,subject:fantasy
xUguBQAAQBAJ,City of Bones,Cassandra Clare,2008-02-19,Juvenile Fiction,This is an epic urban fantasy set in New York.,,,subject:fantasy
IQKqlAEACAAJ,Lightning Thief,Rick Riordan,2013-07-04,Adventure stories,"Percy Jackson and the Lightning Thief is the first bestselling book in Rick Riordan's phenomenally successful Percy Jackson series. Half boy. Half God. ALL Hero. Look, I didn't want to be a half-blood. I never asked to be the son of a Greek God. I was just a normal kid, going to school, playing basketball, skateboarding. The usual. Until I accidentally vaporized my maths teacher. Now I spend my time battling monsters and generally trying to stay alive. This is the one where Zeus, God of the Sky, thinks I've stolen his lightning bolt - and making Zeus angry is a very bad idea. ----- Rick Riordan has now sold an incredible 55 million copies of his books worldwide 'It's Buffy meets Artemis Fowl. Thumbs up' Sunday Times ----- Books by Rick Riordan: The Percy Jackson series: Percy Jackson and the Lightning Thief Percy Jackson and the Sea of Monsters Percy Jackson and the Titan's Curse Percy Jackson and the Battle of the Labyrinth Percy Jackson and the Last Olympian Percy Jackson: The Demigod Files The Heroes of Olympus series: The Lost Hero The Son Of Neptune The Mark of Athena The Heroes of Olympus: The Demigod Files The Kane Chronicles series: The Red Pyramid The Throne of Fire The Serpent's Shadow The Magnus Chase series: Magnus Chase and the Sword of Summer Magnus Chase and the Hammer of Thor Magnus Chase and the Ship of the Dead The Trials of Apollo series: The Dark Prophecy The Hidden Oracle The Burning Maze",4.5,2.0,subject:fantasy
xYotngEACAAJ,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Juvenile Fiction,"Harry Potter is an ordinary boy who lives in a cupboard under the stairs at his Aunt Petunia and Uncle Vernon's house, which he thinks is normal for someone like him who's parents have been killed in a 'car crash'. He is bullied by them and his fat, spoilt cousin Dudley, and lives a very unremarkable life with only the odd hiccup (like his hair growing back overnight!) to cause him much to think about. That is until an owl turns up with a letter addressed to Harry and all hell breaks loose! He is literally rescued by a world where nothing is as it seems and magic lessons are the order of the day. Read and find out how Harry discovers his true heritage at Hogwarts School of Wizardry and Witchcraft, the reason behind his parents mysterious death, who is out to kill him, and how he uncovers the most amazing secret of all time, the fabled Philosopher's Stone! All this and muggles too. Now, what are they?",4.5,3.0,subject:fantasy
v_s-HvZinqUC,The Tombs of Atuan,Ursula K. Le Guin,2012-09-11,Juvenile Fiction,"""With a new afterword from the author""--Jkt.",,,subject:fantasy
vg99OwAACAAJ,The Ones who Walk Away from Omelas,Ursula K. Le Guin,1993,Conduct of life,Some inhabitants of a peaceful kingdom cannot tolerate the act of cruelty that underlies its happiness.,5.0,1.0,subject:fantasy
K4c4UdONAAcC,The Story of Doctor Dolittle,,1997,Juvenile Fiction,"Docotr Doolittle is a scholar of all animal languages, he travels to Africa to help the monkeys there an dhas many animal adventures.",,,subject:fantasy
C0ZZAAAAYAAJ,The Black Cauldron,Lloyd Alexander,1980,Juvenile Fiction,"""Taran, the gallant Assistant Pig-keeper, and his companions once again fare forth to destroy the evil that threatens their beloved country, Prydain.... A wise and wondrous tale written in epic fashion."" --Booklist",,,subject:fantasy
hqFSDQAAQBAJ,Neverseen,Shannon Messenger,2016-11,Juvenile Fiction,"""Sophie battles the rebels--and recovers dark memories from her past. She must question everything to find a truth that will either save her world--or shatter it""--Provided by publisher.",5.0,1.0,subject:fantasy
CFEwmc0hK9wC,The Life and Adventures of Santa Claus,Lyman Frank Baum,1902,Children's literature,"A human foundling child, adopted by a wood-nymph and raised by the creatures who inhabit a magical forest, grows up to be the immortal Santa Claus.",,,subject:fantasy
Wzf3VYKufGwC,The Golden Compass,Philip Pullman,1997,Fiction,"Accompanied by her daemon, Lyra Belacqua sets out to prevent her best friend and other kidnapped children from becoming the subject of gruesome experiments in the Far North.",4.0,83.0,subject:fantasy
EU4FMQAACAAJ,Six of Crows,Leigh Bardugo,2018-02-06,Brigands and robbers,"Six dangerous outcasts and one impossible heist. Kaz's crew is the only thing that might stand between the world and destruction, if the crew members don't kill each other first.",,,subject:fantasy
jCWUtgAACAAJ,The Moomins and the Great Flood,Tove Jansson,2012,Children's stories,"The first Moomin story. Moomin, Moominmamma and Sniff search through forest and flood for long lost Moominpappa. In a series of adventures along the way, they encounter Hemulens, stranded kittens and the blue-haired Tulippa.",,,subject:fantasy
H89XAwAAQBAJ,Moominsummer Madness,Tove Jansson,2010-04-27,Juvenile Fiction,A flood hits Moomin Valley and triggers a series of adventures for the Moomins. Illustrations.,,,subject:fantasy
ixaFLnlpKzYC,James and the Giant Peach,Roald Dahl,2001,Juvenile Fiction,"When James Henry Trotter accidentally drops some magic crystals by the old peach tree, strange things start to happen. The peach at the top of the tree begins to grow, and before long it's as big as a house. Then James discovers a secret entranceway into the fruit, and when he crawls inside, he meets a bunch of marvelous oversized friends -- Old-Green-Grasshopper, Centipede, Ladybug, Miss Spider, and more. After years of feeling like an outsider in the house of his despicable Aunt Sponge and Aunt Spiker, James has finally found a place where he belongs. With a snip of the stem, the peach starts rolling away, and the exciting adventure begins!",5.0,4.0,subject:fantasy
actiAwAAQBAJ,Finn Family Moomintroll,Tove Jansson,2010-04-27,Juvenile Fiction,"Moomintroll and his friends, Snufkin and Sniff, find a hat with magical powers.",,,subject:fantasy
pa4LUt0FCB0C,The Fantastic Flying Books of Mr. Morris Lessmore,William Joyce,2012-06-19,Juvenile Fiction,"Morris Lessmore loved words. He loved stories. He loved books. But every story has its upsets. Everything in Morris Lessmore's life, including his own story, is scattered to the winds. But the power of story will save the day.",1.0,2.0,subject:fantasy
RM9XAwAAQBAJ,Comet in Moominland,Tove Jansson,2010-04-27,Juvenile Fiction,"Moomintroll and his friend, Sniff, have many adventures while on their way to consult the professors at the observatory in the Lonely Mountains about the approaching comet.",,,subject:fantasy
hNUWAQAAMAAJ,"Over Sea, Under Stone",Susan Cooper,1965,Fiction,"Like many adventures, this one begins with a holiday in Cornwall, the discovery of an ancient map and a search for an Arthurian treasure. But Simon, Jane and Barney soon realize that dark forces are at work to prevent them releasing King Arthur's power for good once more.",,,subject:fantasy
kQJdAAAAMAAJ,The Little Prince,,1943,Juvenile Fiction,"Grade level 8.2, Book #123, Points 4.",,,subject:fantasy
lS4P7N84zsAC,Ozma of Oz,Lyman Frank Baum,1907,Fiction,"It is the first Oz book where the majority of the action takes place outside of the Land of Oz. Only the final two chapters take place in Oz itself. This reflects a subtle change in theme: in the first book, Oz is the dangerous land through which Dorothy must win her way back to Kansas; in the third, Oz is the end and aim of the book. Dorothy's desire to return home is not as desperate as in the first book, and it is her uncle's need for her rather than hers for him that makes her return.",,,subject:fantasy
txB83IBP6c4C,The Emerald City of Oz,Lyman Frank Baum,1910,Juvenile Fiction,"Dorothy's aunt and uncle get acquainted with Oz after they lose their farm, and Ozma invites them to live with her.",,,subject:fantasy
f18sAQAAIAAJ,The City of Ember,Jeanne DuPrau,2003,Juvenile Fiction,"In the year 241, twelve-year-old Lina trades jobs on Assignment Day to be a Messenger to run to new places in her decaying but beloved city, perhaps even to glimpse Unknown Regions.",4.0,3.0,subject:fantasy
UouqnNklemkC,Charlotte's Web,Elwyn Brooks White,1997,Animals,"Wilbur, the pig, is desolate when he discovers that he is destined to be the farmer's Christmas dinner until his spider friend, Charlotte, decides to help him.",,,subject:fantasy
NsFaAAAAYAAJ,The Brothers Lionheart,Astrid Lindgren,1985,Juvenile Nonfiction,"Two brothers share many adventures after their death when they are reunited in Nangiyala, the land where sagas come from.",,,subject:fantasy
V94zd80Y4WIC,Through the Looking-Glass,Lewis Carroll,1993-04-23,Juvenile Fiction,Publisher description,,,subject:fantasy
nmXTy4FPfcwC,Harry Potter and the Chamber of Secrets,J. K. Rowling,1999,Juvenile Fiction,"Witchcraft, wizardry - fiction.",5.0,1.0,subject:fantasy
8M2JcxsihdgC,The Land of Oz,Lyman Frank Baum,1904,"Children's stories, American","Tip and his creation, Jack Pumpkin, run away to Oz where they save the city after it is captured by girls.",4.5,3.0,subject:fantasy
d5blEAAAQBAJ,The Winter King,Bernard Cornwell,1997-04-15,Fiction,"A retelling of the Arthurian legend from the point of view of Derfel Cadarn, one of Arthur's warriors who later becomes a monk.",,,subject:fantasy
drCfiu1MRN8C,Artemis Fowl,Eoin Colfer,2002,Juvenile Fiction,"Artemis Fowl is going straight...as soon as he pulls off the most brilliant criminal feat of his career. But his last job plan goes awry, leaving his loyal bodyguard, Butler, mortally injured. Artemis's only hope of saving his friend is to enlist the help of his old rival, Captain Holly Short of the LEPrecon fairy police. It is going to take a miracle to save Butler, and Artemis's luck may have just run out. . . Praise for ""Artemis Fowl: The Eternity Code"" *""Readers will burn the midnight oil to the finish."" -Publishers Weekly (starred review) .."".the action is fast and furious, the humor is abundant, characterizations are zany, and the boy genius works wonders--all of which add up to another wild ride for Artemis' fans."" - Booklist ""Colfer's young antihero might be getting more likeable all the time, but that hasn't taken the edge off the Tom-Clancy-meets-Harry-Potter action."" - Amazon.com",,,subject:fantasy
S7TQixYMzhEC,Winnie-the-Pooh,Alan Alexander Milne,1954,Juvenile Fiction,"Little ones who love Winnie-the-Pooh and terrific textures to touch and feel will delight in this year's Winnie-the-Pooh's Touch and Feel. On every sturdy page, baby will have endless interactive fun with ten tactile elements, ranging from Pooh's sticky honey to Piglet's rubbery red balloon to a mirror displaying Tigger's stripy reflection. The youngest Pooh admirers won't be able to keep their hands off this charming book, filled with Ernest H. Shepard's bright and lively full-color artwork and classic vignettes from A. A. Milne's timeless volumes-and the mirth and merriment of Winnie-the-Pooh.",3.0,6.0,subject:fantasy
Wk3hAAAAMAAJ,Ozma of Oz,Lyman Frank Baum,2003,Juvenile Fiction,"Fantasy and adventure in the fairy land of Ev with Dorothy, Princess Ozma, a wicked Nome King, an enchanted royal family, and more. 111 black-and-white illustrations.",,,subject:fantasy
WxedAGeQUqwC,Castle in the Air,Diana Wynne Jones,2000,Juvenile Fiction,Sequel to Howl's moving castle.,,,subject:fantasy
m-u6KyViFD8C,Quidditch Through the Ages,J. K. Rowling,2009-01-01,Juvenile Fiction,"Did you know that: there are 700 ways of committing a foul in Quidditch? The game first began to evolve on Queerditch Marsh? What Bumphing is? That Puddlemere United is oldest team in the Britain and Ireland league? (Founded 1163.) All this information and much more could be yours once you have read this book: this is all you could ever need to know about the history, the rules - and the breaking of the rules - of the noble wizarding sport of Quidditch.",4.5,2.0,subject:fantasy
MOq9jF_7dHMC,The Magic of Oz,Lyman Frank Baum,1919,Juvenile Fiction,"A young citizen of Oz learns an important magic word and falls prey to the wickedness of the Nomes' ex-king who wants to destroy Dorothy, the Wizard, and Princess Ozma.",,,subject:fantasy
-LawAAAAIAAJ,Tracy's Tiger,William Saroyan,1951,Fantasy,"Two ingenuous young people as lovers, with a whimsical tiger as the hero of the fable.",,,subject:fantasy
KnIkAQAAMAAJ,Where the Wild Things are,Maurice Sendak,1963,Juvenile Fiction,"Max is sent to bed without supper and imagines sailing away to the land of Wild Things, where he is made king. Winner, 1964 Caldecott MedalNotable Children's Books of 1940-1970 (ALA)1981 Boston Globe-Horn Book Award for Illustration1963, 1982 Fanfare Honor List (The Horn Book)Best Illustrated Children's Books of 1963, 1982 (NYT)A Reading Rainbow Selection1964 Lewis Carroll Shelf AwardChildren's Books of 1981 (Library of Congress)1981 Children's Books (NY Public Library)100 Books for Reading and Sharing 1988 (NY Public Library)",,,subject:fantasy
dqrVzgEACAAJ,Harry Potter and the Sorcerer's Stone,J. K. Rowling,1998,"Children's stories, English","Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and Witches.",,,subject:fantasy
IY2uzQEACAAJ,The Ickabog,J. K. Rowling,2020-11-10,Juvenile Fiction,"As the legend of the fearsome Ickabog spreads terror in the peaceful kingdom of Cornucopia, best friends Bert and Daisy set out to discover the truth and bring happiness back to the kingdom.",,,subject:fantasy
NF7Xjz5qEk4C,Glinda of Oz,Lyman Frank Baum,1920,Fiction,"Book 14 of L. Frank Baum's immortal OZ series, in which Ozma and Dorothy travel to an enchanted island to prevent an impending battle between the Skeezers and the Flatheads, but are instead imprisoned in the city just before the island is submerged.",,,subject:fantasy
HZFBWfxTeksC,The Wind in the Willows,Kenneth Grahame,1954,Juvenile Fiction,"The Wind in the Willows is a book for those 'who keep the spirit of youth alive in them; of life, sunshine, running water, woodlands, dusty roads, winter firesides.'",4.0,2.0,subject:fantasy
GFcYAAAACAAJ,Northern Lights,Philip Pullman,2001,Arctic regions,"Twelve year-old Lyra Belacqua is drawn into a savage struggle among the armoured bears and witch-clans of the Arctic, where a scientific research station is carrying out experiments too horrible to be spoken about. In order to survive, she must leave her childhood behind and venture beyond the Northern Lights.",,,subject:fantasy
h4AC2DtqylcC,The Wizard of Oz,Lyman Frank Baum,1992-09,Fiction,"Dorothy and her dog, Toto, must go to the Emerald City to ask the Wizard for help to get back home after a cyclone transports them to the land of Oz.",,,subject:fantasy
xHKNST2mt0QC,My Best Friend is Invisible,R. L. Stine,2007,Juvenile Fiction,Sammy Jacobs sets out to find a way to get rid of his new invisible friend who begins hanging out in his room and eating his food.,,,subject:fantasy
9wReQgAACAAJ,Bridge to Terabithia,Katherine Paterson,1980,Bullying,"Thisis the story of a special friendship between a two lonely children, Jess and Leslie. Together they create an imaginary land called Terabithia, which they reach by swinging over a creek on a rope. In this wonderland they seek escape from the difficulties of the real world and also learn how to cope. Until one day, tragedy strikes andtheir imaginary world is seemingly torn apart forever.",,,subject:fantasy
qUQlAQAAIAAJ,The Foot Book,Dr. Seuss,1968-10-12,Juvenile Fiction,Beginner's text describes all sorts of feet doing all sorts of things.,,,subject:fantasy
RJomPwAACAAJ,Tehanu,Ursula K. Le Guin,1991,Fiction,"When Sparrowhawk, the Archmage of Earthsea, returns from the dark land stripped of his magic powers, he finds refuge with the aging widow Tenar and a crippled girl child who carries an unknown destiny.",,,subject:fantasy
r6UyEAAAQBAJ,Harry Potter Box Set: the Complete Collection (Children's Paperback),J. K. Rowling,2014-09-24,Fiction,"A beautiful boxed set containing all seven Harry Potter novels in paperback. These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON .",,,subject:fantasy
COYTEQAAQBAJ,The Wonderful Wizard of Oz,L. Frank Baum,2024-09-17,Fiction,"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",,,subject:fantasy
